person_id,sex,race,c_charge_degree,c_charge_desc,is_recid,num_r_cases,r_charge_degree,r_charge_desc,is_violent_recid,num_vr_cases,vr_case_number,vr_charge_degree,vr_charge_desc
1,Male,Other,(F3),Aggravated Assault w/Firearm,0,,,,0,,,,
3,Male,African-American,(F3),Felony Battery w/Prior Convict,1,3,(F3),Felony Battery (Dom Strang),1,,13009779CF10A,(F3),Felony Battery (Dom Strang)
4,Male,African-American,(F3),Possession of Cocaine,1,1,(M1),Driving Under The Influence,0,,,,
5,Male,African-American,(F3),Possession of Cannabis,0,,,,0,,,,
6,Male,Other,(F7),arrest case no charge,0,,,,0,,,,
7,Male,Other,(M1),Battery,0,,,,0,,,,
8,Male,Caucasian,(F3),Possession Burglary Tools,1,3,(F2),Poss of Firearm by Convic Felo,0,,,,
9,Male,Other,(F3),arrest case no charge,0,,,,0,,,,
10,Female,Caucasian,(M1),Battery,0,,,,0,,,,
11,Male,Caucasian,(F3),Possession Of Alprazolam,0,,,,0,,,,
12,Female,Caucasian,(F3),Possession Of Alprazolam,0,,,,0,,,,
13,Male,Caucasian,(F2),Insurance Fraud,1,2,(M1),Battery,1,,15000258CF10A,(F2),Aggrav Battery w/Deadly Weapon
15,Male,African-American,(M1),Battery,1,1,(M2),Driving License Suspended,0,,,,
16,Female,Caucasian,(M1),Battery,0,,,,0,,,,
17,Male,Caucasian,(M1),Battery,0,,,,0,,,,
19,Female,Caucasian,(F3),arrest case no charge,1,2,(F3),Grand Theft (Motor Vehicle),0,,,,
20,Male,African-American,(F3),Felony Driving While Lic Suspd,1,1,(M1),Criminal Mischief>$200<$1000,0,,,,
21,Male,Hispanic,(M1),Battery,0,,,,0,,,,
22,Male,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
23,Male,Caucasian,(F3),Driving While License Revoked,1,3,(F3),Grand Theft in the 3rd Degree,1,,14010409CF10A,(F1),Kidnapping (Facilitate Felony)
