sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,prediction,truth
Male,African-American,32,0,0,0,4,0,0
Female,Other,25,0,0,0,2,0,0
Male,African-American,26,0,0,0,9,0,1
Male,Caucasian,27,0,0,0,0,0,1
Male,Caucasian,52,0,0,0,1,0,1
Female,Hispanic,57,0,0,0,1,0,0
Male,Other,47,0,0,0,2,0,0
Male,African-American,32,0,0,0,3,0,1
Male,African-American,27,0,0,0,5,0,1
Male,Hispanic,53,0,0,0,11,0,0
Male,Hispanic,45,0,0,0,0,0,1
Male,African-American,29,0,0,0,2,0,0
Female,Caucasian,42,0,0,0,0,0,0
Male,Caucasian,26,0,0,0,4,0,1
Female,Caucasian,28,0,0,1,3,1,0
Female,Caucasian,53,0,0,0,0,0,0
Male,Caucasian,24,0,0,0,0,0,0
Male,African-American,40,0,0,0,1,0,0
Male,African-American,35,3,0,0,24,0,0
Male,Hispanic,28,0,0,0,1,0,0
Male,African-American,39,0,0,1,6,1,1
Male,African-American,35,0,0,1,0,0,0
Male,African-American,22,0,0,0,1,0,1
Male,African-American,46,0,0,0,2,0,1
Male,African-American,25,0,0,0,0,0,0
Male,Caucasian,52,0,0,0,1,0,0
Male,African-American,28,0,0,0,4,0,1
Male,African-American,40,0,0,0,0,0,0
Female,Caucasian,57,0,0,0,1,0,1
Male,African-American,25,0,0,0,0,0,0
Male,Caucasian,20,0,0,1,0,0,0
Male,Caucasian,42,0,0,0,1,0,0
Male,African-American,21,0,0,0,2,0,1
Male,African-American,32,0,0,0,19,0,1
Female,Other,29,0,0,0,0,0,0
Male,Caucasian,29,0,0,0,2,0,0
Male,Caucasian,58,0,0,0,0,0,0
Male,African-American,27,0,0,0,3,0,0
Male,African-American,23,0,0,0,5,0,1
Male,Caucasian,25,0,0,0,0,0,0
Male,Other,24,0,0,0,1,0,0
Male,African-American,40,0,0,0,0,0,0
Male,African-American,28,0,0,0,10,0,1
Male,Caucasian,52,0,0,0,0,0,0
Male,African-American,27,0,0,0,1,0,0
Male,Hispanic,47,0,0,0,0,0,0
Male,African-American,27,0,0,0,4,0,0
