person_id,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,is_recid,is_violent_recid
1,69,0,0,0,1,0,0,0
3,34,0,0,0,3,0,1,1
4,24,0,0,1,4,4,1,0
5,23,0,1,0,8,1,0,0
6,43,0,0,0,1,2,0,0
7,44,0,0,0,1,0,0,0
8,41,0,0,0,6,14,1,0
9,43,0,0,0,4,3,0,0
10,39,0,0,0,1,0,0,0
11,20,0,0,1,10,0,0,0
12,26,0,0,0,5,0,0,0
13,21,0,0,0,3,1,1,1
15,23,0,0,0,6,3,1,0
16,37,0,0,0,1,0,0,0
17,22,0,0,0,3,0,0,0
19,47,0,0,0,1,1,1,0
20,31,0,0,0,3,7,1,0
21,37,0,0,0,1,0,0,0
22,25,0,0,0,10,3,0,0
23,31,0,0,0,5,6,1,1
24,31,0,0,0,3,5,1,0
25,64,0,0,0,6,13,1,0
26,21,0,0,0,9,1,1,0
27,27,0,0,0,2,0,1,0
28,21,0,0,0,4,0,0,0
29,24,0,0,0,-1,2,1,0
30,24,0,0,0,4,1,1,0
31,42,0,0,0,3,1,0,0
32,43,0,0,0,1,1,0,0
33,32,0,0,0,3,0,0,0
35,44,0,0,0,6,8,0,0
37,27,0,0,0,3,8,1,1
38,36,0,0,0,3,3,0,0
39,26,0,0,1,7,5,1,0
40,33,0,0,0,10,0,1,1
41,30,0,0,0,9,9,1,0
42,32,0,0,0,8,4,1,0
43,63,0,0,0,1,0,0,0
44,27,0,0,0,3,2,0,0
45,55,0,0,0,1,0,0,0
47,32,0,0,0,10,15,0,0
48,38,0,0,2,3,5,0,0
49,53,0,0,0,5,19,0,0
50,49,0,0,0,3,7,1,0
51,26,0,0,2,8,6,0,0
52,33,0,0,0,5,4,1,0
53,24,0,0,0,2,1,1,0
54,34,2,1,3,9,21,1,0
55,29,0,0,0,2,0,0,0
56,21,0,0,0,8,2,0,0
57,51,0,0,0,1,2,0,0
59,29,0,0,0,2,2,1,0
60,25,0,0,0,6,0,0,0
61,51,0,0,0,2,7,0,0
62,28,0,0,0,7,8,0,0
63,36,0,0,0,9,22,0,0
64,29,0,0,0,7,0,1,0
65,29,0,0,0,1,0,0,0
66,25,0,0,0,10,9,1,1
67,35,1,0,4,8,13,1,1
68,49,0,0,0,1,0,0,0
69,34,0,0,0,3,4,1,0
70,29,0,0,0,4,0,0,0
71,29,0,0,0,2,1,1,0
72,28,0,0,0,2,0,0,0
73,51,0,0,0,2,0,0,0
74,25,0,0,0,3,0,0,0
75,48,0,0,0,6,20,1,0
76,33,0,0,0,9,1,0,0
77,63,0,0,0,1,1,0,0
78,30,0,0,1,6,3,0,0
79,31,0,0,1,5,15,1,0
80,24,0,0,0,4,2,1,0
81,27,0,0,0,5,0,0,0
82,32,0,0,0,8,3,0,0
83,30,0,0,0,7,0,0,0
84,49,0,0,0,1,4,0,0
85,53,0,0,0,5,8,0,0
86,31,0,0,0,1,0,0,0
87,35,0,0,0,3,5,0,0
88,63,0,0,0,7,10,1,0
89,33,0,0,0,1,2,0,0
90,27,1,1,2,10,15,1,0
91,38,0,0,0,2,4,1,0
92,46,3,1,0,6,9,0,0
93,22,0,0,1,4,1,1,0
94,34,0,0,0,1,0,0,0
95,22,0,1,2,10,2,1,0
96,29,0,0,0,9,4,1,0
97,62,0,0,0,1,0,0,0
98,27,0,1,0,6,6,1,0
99,33,0,0,0,1,0,0,0
100,56,0,0,0,1,0,0,0
101,45,0,0,0,1,6,1,1
102,22,0,0,0,4,1,0,0
103,31,0,0,0,3,2,0,0
104,34,0,0,0,4,0,0,0
105,39,0,0,0,4,1,0,0
106,24,0,1,0,6,4,0,0
107,29,0,0,0,6,5,1,0
108,27,0,0,1,6,1,1,0
110,24,0,0,0,4,1,0,0
111,40,0,0,0,2,2,0,0
112,51,0,0,0,1,1,0,0
113,22,0,0,0,3,1,1,0
114,22,0,0,0,8,0,0,0
115,26,0,0,0,4,1,1,1
116,27,0,0,0,7,1,1,1
117,59,0,0,0,1,2,0,0
118,32,0,0,0,1,3,0,0
119,32,0,0,0,2,0,0,0
120,41,0,0,0,2,1,0,0
121,50,0,0,0,1,0,0,0
122,30,0,0,0,10,8,1,1
123,66,0,0,0,9,0,0,0
124,52,0,0,0,5,3,0,0
126,22,0,0,0,6,3,0,0
127,50,0,0,0,1,0,1,0
128,25,1,6,1,10,14,1,1
130,20,0,0,0,5,0,1,1
131,22,1,0,0,9,2,1,0
132,23,0,0,1,7,2,1,0
133,54,0,0,0,6,6,0,0
134,40,0,0,0,5,4,0,0
135,25,0,0,0,7,10,0,0
136,35,0,0,0,2,1,0,0
137,36,0,0,0,7,9,1,0
138,26,0,0,0,8,7,1,0
139,21,0,0,0,6,1,1,0
141,30,0,0,1,5,6,0,0
142,25,0,0,0,8,9,1,1
143,71,0,0,0,7,12,0,0
144,34,0,0,0,3,3,0,0
146,39,0,0,0,1,2,1,0
147,66,0,0,0,1,3,0,0
148,54,0,0,0,1,0,0,0
150,44,0,0,0,1,0,0,0
151,19,0,0,0,4,1,1,1
152,24,0,0,0,2,1,0,0
153,30,0,0,0,2,1,0,0
154,39,0,0,0,1,0,1,1
155,32,0,0,0,3,8,0,0
156,24,0,1,2,6,8,1,0
157,30,0,0,0,4,0,0,0
158,31,0,0,0,5,0,0,0
159,39,0,0,0,4,1,0,0
160,59,0,0,0,9,14,1,1
161,35,0,0,0,6,7,0,0
162,24,0,0,0,3,0,0,0
163,43,0,0,0,1,1,0,0
164,21,1,0,1,9,2,0,0
165,21,0,0,0,4,0,0,0
166,21,0,0,0,9,3,1,0
167,27,0,0,0,7,0,0,0
168,20,0,0,0,8,0,0,0
169,38,0,0,0,4,5,1,0
170,27,0,0,0,9,3,0,0
171,34,0,0,0,5,0,0,0
172,30,0,0,0,3,3,0,0
173,33,0,0,0,5,5,1,0
175,42,0,0,0,2,1,1,0
176,41,0,1,0,9,10,1,0
177,22,0,0,0,4,0,1,0
178,33,0,12,2,8,28,1,0
179,44,0,0,0,1,0,0,0
180,31,0,0,0,7,1,0,0
181,26,0,0,0,8,9,0,0
182,30,0,0,0,2,1,0,0
183,31,0,0,0,10,13,1,1
184,27,0,0,0,9,3,1,0
185,31,0,0,0,2,1,0,0
186,47,0,0,0,1,2,0,0
187,56,0,0,0,9,8,0,0
188,33,0,0,0,8,2,0,0
189,52,0,0,0,9,3,0,0
190,33,0,0,0,10,19,1,0
191,61,0,0,0,4,0,0,0
192,64,0,0,0,1,2,0,0
193,22,0,0,0,6,4,1,0
194,42,0,0,0,3,6,0,0
195,25,0,0,0,4,2,0,0
196,27,0,0,0,1,0,0,0
197,30,0,0,0,2,1,0,0
199,28,0,0,0,1,2,0,0
200,37,0,0,0,2,2,0,0
201,21,0,0,0,5,1,0,0
202,28,0,0,0,2,0,1,0
203,24,0,0,0,2,0,0,0
204,37,0,0,0,8,13,0,0
205,22,0,0,0,9,0,0,0
206,29,0,1,0,4,10,1,0
207,25,0,0,0,3,0,0,0
208,44,0,0,0,2,2,1,0
209,30,0,0,0,5,4,1,1
210,32,0,0,0,7,3,1,0
211,53,0,0,0,4,1,0,0
212,34,0,0,0,2,1,0,0
213,31,0,0,0,3,2,1,0
214,27,0,0,0,10,5,0,0
215,31,0,0,0,2,1,1,0
216,59,0,0,0,2,1,1,0
217,28,0,0,0,10,15,0,0
218,45,0,0,0,4,4,0,0
219,23,0,0,0,3,0,0,0
220,20,1,0,0,10,1,0,0
221,42,0,0,0,1,2,0,0
222,43,0,0,0,1,0,0,0
223,38,1,1,0,8,9,1,0
224,32,0,0,0,6,11,1,1
225,33,0,0,0,5,8,1,1
226,55,0,0,0,8,4,0,0
227,31,0,0,0,3,0,1,0
228,33,0,0,0,9,7,1,0
229,27,0,0,0,9,2,1,0
230,52,0,0,0,1,0,0,0
231,20,0,0,0,6,0,0,0
232,26,0,0,0,6,0,0,0
233,25,0,0,0,10,4,0,0
234,61,0,0,0,1,1,1,0
235,52,0,0,0,7,13,1,0
236,63,0,0,0,1,1,0,0
238,32,0,0,0,10,4,1,1
239,29,0,0,0,4,1,0,0
240,46,0,0,0,2,1,0,0
241,26,0,0,0,4,2,1,0
242,55,0,0,0,1,3,0,0
243,39,1,0,0,4,1,0,0
244,30,0,0,0,7,3,1,0
245,30,0,0,0,7,1,0,0
246,48,0,0,0,2,2,0,0
247,33,0,0,0,1,0,0,0
248,22,0,0,0,2,1,0,0
249,46,0,0,0,1,6,1,0
250,41,0,0,0,10,5,0,0
251,49,0,0,0,6,6,0,0
253,31,0,0,0,1,0,0,0
254,25,0,0,0,2,1,1,0
255,31,0,0,0,3,3,0,0
256,21,0,0,0,6,0,0,0
258,32,0,0,0,7,5,0,0
259,52,0,0,0,1,2,0,0
260,62,0,0,0,4,8,0,0
261,30,0,0,0,6,2,0,0
