person_id,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,num_r_cases,vr_charge_degree
7,44,0,0,0,1,0,,
18,41,0,0,0,4,0,,
27,27,0,0,0,2,0,1,
41,30,0,0,0,9,9,1,
47,32,0,0,0,10,15,,
59,29,0,0,0,2,2,1,
70,29,0,0,0,4,0,,
76,33,0,0,0,9,1,,
79,31,0,0,1,5,15,1,
111,40,0,0,0,2,2,,
114,22,0,0,0,8,0,,
116,27,0,0,0,7,1,1,(M1)
122,30,0,0,0,10,8,2,(F3)
128,25,1,6,1,10,14,5,(M1)
133,54,0,0,0,6,6,,
137,36,0,0,0,7,9,1,
144,34,0,0,0,3,3,,
152,24,0,0,0,2,1,,
158,31,0,0,0,5,0,,
164,21,1,0,1,9,2,,
170,27,0,0,0,9,3,,
180,31,0,0,0,7,1,,
184,27,0,0,0,9,3,3,
204,37,0,0,0,8,13,,
217,28,0,0,0,10,15,,
221,42,0,0,0,1,2,,
232,26,0,0,0,6,0,,
250,41,0,0,0,10,5,,
278,23,0,0,0,2,0,1,
295,38,0,0,0,10,14,,
302,35,0,1,0,9,23,3,
317,28,0,0,0,9,1,,
322,45,0,0,0,6,3,,
332,30,0,0,0,7,2,,
335,37,0,0,0,1,0,1,(M1)
359,32,0,1,0,9,14,,
377,24,0,0,0,7,1,1,(M1)
380,47,0,0,0,1,0,,
390,27,0,0,0,4,4,,
393,37,0,0,0,1,2,,
397,46,1,0,0,8,5,,
423,37,0,0,0,1,3,,
428,46,0,0,0,4,3,,
433,34,0,0,0,8,0,,
437,23,0,0,0,5,0,1,
455,57,0,0,0,1,6,,
468,27,0,0,0,2,0,,
480,20,0,0,0,9,0,1,
488,36,0,0,0,1,0,,
489,28,0,0,0,3,2,1,(M1)
515,37,0,0,0,2,4,,
516,32,0,1,0,9,12,1,(F2)
517,23,0,0,1,6,1,,
535,28,0,0,0,2,0,,
554,29,0,0,0,8,2,,
584,35,0,0,0,5,2,,
585,36,0,0,0,7,8,,
587,60,0,0,0,1,1,,
605,26,0,0,2,7,6,,
607,65,0,0,0,1,0,,
617,60,0,0,0,1,4,,
626,47,0,0,0,1,1,,
628,25,0,0,0,2,0,2,
636,22,0,0,0,5,2,,
674,24,0,0,0,2,1,1,(M1)
676,34,0,0,0,6,9,,
678,50,0,0,0,2,3,,
686,41,0,0,0,1,0,1,
696,34,0,0,0,7,4,3,
699,59,0,0,0,1,0,,
709,35,0,0,1,7,8,1,
711,24,1,0,0,9,6,2,
739,26,0,0,0,9,2,,
742,33,0,0,0,9,0,,
774,26,0,0,0,7,1,,
777,39,0,0,0,1,4,,
779,35,0,0,0,2,12,,
808,27,0,1,3,4,6,1,
823,42,0,0,0,7,14,1,
826,26,0,0,0,2,1,,
840,27,0,0,0,5,0,,
845,24,0,0,0,3,0,,
850,21,0,2,0,5,3,3,(F2)
864,24,0,0,0,8,8,,
865,23,0,0,1,8,3,,
868,37,0,0,0,1,0,,
871,42,0,0,0,1,0,,
876,34,0,0,0,1,0,,
890,30,0,0,0,6,0,1,
893,31,0,0,0,1,0,,
898,28,0,0,0,8,4,7,
901,27,0,0,0,2,0,,
906,24,0,0,1,5,0,,
910,26,0,0,0,4,1,,
929,24,0,0,1,4,2,,
945,26,0,0,0,8,6,,
959,20,0,1,1,9,4,2,
960,26,0,0,0,7,3,1,
967,27,0,2,1,9,18,1,
973,57,0,0,0,4,0,1,
985,31,0,0,0,2,1,,
991,23,0,0,0,7,4,,
1001,47,0,0,0,9,20,,
1004,23,0,0,0,6,2,1,
1005,65,0,0,0,2,2,1,(F2)
1011,36,0,0,0,2,1,,
1026,46,0,0,0,9,17,2,
1027,22,0,0,1,9,3,,
1043,31,0,0,0,7,5,,
1045,20,0,0,0,8,0,,
1051,33,0,0,0,2,3,1,
1055,33,0,0,0,8,4,1,(F3)
1060,44,0,0,0,1,1,,
1079,37,0,0,0,1,5,1,(M1)
1108,30,0,0,0,6,0,,
1109,45,0,0,0,4,0,1,
1122,24,0,0,0,3,0,,
1132,53,0,0,0,1,0,,
1161,55,0,0,0,8,19,,
1169,29,0,0,0,4,1,,
1177,47,0,0,0,1,0,,
1188,23,0,0,0,4,0,,
1193,48,0,0,0,7,0,,
1195,37,0,0,0,7,3,,
1200,24,0,0,0,5,0,1,
1215,83,0,0,0,1,0,,
1221,29,0,0,0,7,3,,
1233,26,0,0,0,4,8,,
1240,29,0,1,0,10,16,,
1249,22,0,0,0,3,0,,
1251,20,0,0,0,3,0,,
1257,22,0,0,1,7,1,3,(M1)
1267,23,0,0,1,3,0,,
1291,58,0,0,0,2,1,,
1295,26,0,0,0,4,0,,
1312,33,0,0,0,1,0,,
1320,46,0,0,0,1,0,,
1331,23,0,3,1,10,6,3,
1335,37,0,0,0,4,4,,
1348,29,0,0,0,5,1,,
