person_id,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,is_recid,is_violent_recid
6,43,0,0,0,1,2,0,0
14,27,0,0,0,4,0,0,0
21,37,0,0,0,1,0,0,0
26,21,0,0,0,9,1,1,0
27,27,0,0,0,2,0,1,0
62,28,0,0,0,7,8,0,0
64,29,0,0,0,7,0,1,0
69,34,0,0,0,3,4,1,0
74,25,0,0,0,3,0,0,0
75,48,0,0,0,6,20,1,0
78,30,0,0,1,6,3,0,0
85,53,0,0,0,5,8,0,0
104,34,0,0,0,4,0,0,0
117,59,0,0,0,1,2,0,0
118,32,0,0,0,1,3,0,0
128,25,1,6,1,10,14,1,1
152,24,0,0,0,2,1,0,0
173,33,0,0,0,5,5,1,0
175,42,0,0,0,2,1,1,0
183,31,0,0,0,10,13,1,1
184,27,0,0,0,9,3,1,0
215,31,0,0,0,2,1,1,0
241,26,0,0,0,4,2,1,0
258,32,0,0,0,7,5,0,0
266,54,0,0,0,1,2,0,0
273,39,0,0,0,5,3,0,0
294,34,0,0,0,2,2,1,0
305,40,0,0,0,1,3,0,0
314,38,0,0,0,1,0,0,0
320,38,0,0,0,9,15,0,0
327,51,0,0,0,2,0,0,0
330,48,0,0,0,1,0,0,0
338,23,0,0,0,9,2,0,0
345,52,0,0,0,1,0,0,0
355,30,0,0,0,2,4,0,0
360,26,0,1,0,8,4,0,0
362,28,0,0,0,8,25,1,0
393,37,0,0,0,1,2,0,0
394,31,0,0,0,2,0,0,0
398,22,0,0,1,7,0,0,0
427,58,0,0,0,7,9,0,0
441,24,0,0,0,3,0,0,0
457,43,0,0,0,2,2,1,0
480,20,0,0,0,9,0,1,0
483,24,0,0,0,2,0,0,0
492,21,0,0,0,4,0,0,0
507,31,0,0,0,9,8,0,0
548,21,0,1,0,3,1,1,0
569,24,0,0,0,4,0,0,0
574,24,0,0,0,4,1,0,0
583,64,0,0,0,9,13,0,0
601,47,0,0,0,10,5,1,0
604,22,0,0,1,9,0,1,0
621,23,0,0,0,3,1,0,0
630,22,0,0,0,3,0,0,0
657,24,0,0,0,10,3,1,0
668,25,0,0,0,5,2,1,1
675,61,0,0,0,1,4,0,0
676,34,0,0,0,6,9,0,0
705,21,0,0,0,3,1,0,0
707,23,1,2,2,6,6,1,1
716,35,0,0,0,2,1,0,0
725,44,0,0,0,4,3,0,0
732,29,0,0,0,4,2,0,0
740,50,0,0,0,7,5,1,0
746,31,1,0,0,5,6,0,0
747,37,0,0,0,3,5,0,0
762,27,0,0,0,3,1,1,0
763,26,0,0,0,5,7,1,0
798,48,0,0,0,7,1,1,0
802,24,0,0,0,5,3,0,0
806,24,0,0,0,2,0,0,0
832,71,0,0,0,1,0,0,0
833,21,0,0,0,4,0,0,0
848,48,0,0,0,1,0,0,0
864,24,0,0,0,8,8,0,0
879,24,0,0,0,4,1,0,0
883,28,0,0,0,6,8,1,0
884,66,0,0,0,1,0,1,0
894,56,0,0,0,1,3,0,0
915,59,0,0,0,5,17,1,0
927,38,0,0,0,1,0,0,0
947,23,0,0,0,10,3,0,0
953,29,0,0,0,1,0,0,0
964,23,0,2,0,5,3,1,0
972,44,0,0,0,1,6,0,0
976,20,0,0,0,5,1,0,0
990,45,0,0,0,6,1,0,0
1014,21,0,0,0,5,0,0,0
1016,30,0,0,0,9,4,1,1
1023,59,0,0,0,3,2,0,0
1035,65,0,0,0,1,2,0,0
1038,48,0,0,0,1,3,1,0
1039,30,0,0,0,9,15,1,0
1052,27,0,0,0,4,1,0,0
1082,50,0,0,0,8,18,1,0
1089,34,0,0,0,1,0,1,0
1097,41,0,0,0,2,2,0,0
1098,39,0,0,0,1,1,0,0
1100,31,0,0,0,10,1,0,0
1130,30,0,0,0,5,22,1,0
1132,53,0,0,0,1,0,0,0
1134,25,0,0,0,9,2,0,0
1135,24,0,0,0,3,1,0,0
1164,39,0,0,0,6,2,0,0
1193,48,0,0,0,7,0,0,0
1195,37,0,0,0,7,3,0,0
1209,20,0,0,2,4,0,0,0
1219,33,0,0,0,2,0,0,0
1227,36,0,0,0,7,11,0,0
1228,29,0,0,0,5,1,0,0
1230,24,0,0,1,3,0,0,0
1243,43,0,0,0,1,0,0,0
1249,22,0,0,0,3,0,0,0
1269,29,0,0,0,4,2,0,0
1279,40,0,0,0,3,1,0,0
1284,42,0,0,0,4,5,0,0
1287,39,0,0,0,1,0,0,0
1313,25,0,0,0,9,0,1,1
1343,24,0,0,0,6,3,1,0
1344,51,0,0,0,2,3,0,0
1356,57,0,0,0,2,1,0,0
1363,45,0,0,0,1,0,1,0
1369,28,0,0,1,4,3,0,0
1370,53,0,0,0,1,0,0,0
1376,28,0,0,0,5,1,0,0
1417,31,0,0,0,6,12,0,0
1428,24,0,0,0,7,2,0,0
1430,47,0,0,0,4,0,0,0
1431,25,0,0,0,5,1,0,0
1447,41,0,0,0,1,5,0,0
1449,37,0,0,0,8,0,0,0
1451,42,0,0,0,7,5,0,0
1461,23,0,0,0,6,2,1,0
1472,38,0,0,0,1,2,0,0
1497,32,1,0,0,4,8,1,0
1508,22,0,0,0,3,0,0,0
1511,29,0,0,0,2,0,0,0
1518,24,0,0,0,2,1,1,0
1519,25,0,0,0,3,0,0,0
1520,24,0,0,0,6,2,0,0
1524,55,0,0,0,1,0,0,0
1530,69,0,0,0,1,0,0,0
1546,29,0,0,0,3,0,0,0
1554,25,0,0,0,2,1,0,0
1568,34,0,0,0,2,0,1,0
1571,46,0,0,0,1,0,0,0
1573,24,0,0,0,6,1,0,0
1575,28,0,0,0,3,3,1,0
1578,39,0,0,0,1,1,0,0
1585,26,0,0,0,3,1,0,0
1611,47,0,0,0,3,4,0,0
1614,43,0,0,0,1,0,0,0
1615,38,0,0,0,1,0,0,0
1616,52,0,0,0,2,2,0,0
1621,51,0,0,0,3,1,0,0
1625,21,0,0,0,10,0,1,1
1631,47,0,0,0,3,1,1,1
1633,55,0,0,0,1,1,0,0
1637,34,0,0,0,1,1,0,0
1643,26,0,0,0,4,0,0,0
1660,27,0,0,1,10,9,1,1
1663,40,0,0,0,1,1,0,0
1668,37,2,0,0,9,18,0,0
1679,31,0,0,0,1,0,0,0
1683,30,0,0,0,7,4,1,1
1713,23,0,0,1,2,1,0,0
1758,20,0,0,0,4,0,0,0
1760,35,0,0,0,5,4,1,0
1784,25,0,0,1,8,8,0,0
1806,33,0,0,0,5,2,1,0
1812,27,0,0,0,4,1,0,0
1841,37,0,0,0,3,1,0,0
1847,42,0,0,0,1,0,0,0
1848,44,0,0,0,2,0,1,0
1865,36,0,0,0,1,0,0,0
1874,28,0,0,0,4,1,0,0
1879,22,0,0,0,9,0,0,0
1905,27,0,0,0,1,0,0,0
1910,51,0,0,0,1,3,1,0
1913,21,0,0,0,4,0,0,0
1918,44,0,0,0,1,0,0,0
1945,28,0,0,0,2,0,0,0
1952,21,0,0,0,6,0,0,0
1956,26,0,0,0,2,1,1,0
1964,20,0,0,1,10,2,0,0
1985,65,0,0,0,1,2,0,0
1993,26,0,0,0,7,0,1,0
2004,26,0,0,0,5,0,0,0
2015,57,0,0,0,1,2,0,0
2019,20,2,0,0,8,2,1,0
2026,27,0,0,0,2,4,1,0
2029,43,0,0,0,3,2,0,0
2030,25,0,0,0,5,0,0,0
2032,22,0,0,0,6,2,0,0
2057,25,0,3,1,9,15,1,1
2065,34,0,0,0,2,2,0,0
2069,23,0,0,0,3,0,0,0
2091,62,0,0,0,9,15,0,0
2092,37,0,0,0,5,0,0,0
2096,59,0,0,0,6,17,1,0
2128,26,0,0,0,3,3,1,0
2134,23,1,0,0,9,1,0,0
2138,34,0,2,1,10,19,1,0
2153,22,0,0,0,8,3,1,1
2168,35,0,0,0,3,0,0,0
2183,41,0,0,0,1,0,0,0
2196,49,0,0,0,2,4,0,0
2202,44,0,0,0,3,1,0,0
2210,26,0,0,0,5,5,0,0
2224,21,0,0,0,6,1,0,0
2255,60,0,0,0,1,0,0,0
2293,40,0,0,0,2,0,0,0
2322,34,0,0,0,7,15,0,0
2326,32,0,0,0,8,12,1,0
2337,31,0,0,0,1,0,0,0
2351,59,0,0,0,1,24,0,0
2355,20,0,0,0,3,0,1,0
2358,34,0,0,0,1,0,0,0
2360,22,0,0,0,3,2,0,0
2361,49,0,0,0,2,2,1,0
2374,21,0,0,0,4,0,1,0
2382,58,0,0,0,6,24,1,0
2385,20,0,0,3,10,2,1,0
2403,22,0,0,0,7,2,0,0
2410,33,0,0,0,4,2,0,0
2420,28,0,0,0,2,0,1,1
2422,27,0,0,0,2,1,0,0
2426,56,0,0,0,5,5,1,0
2431,20,0,0,0,4,0,0,0
2438,67,0,0,0,1,0,0,0
2445,31,0,0,0,5,5,1,0
2447,22,0,0,1,5,0,0,0
2452,54,0,0,0,5,12,0,0
2481,35,0,0,0,1,2,0,0
2484,50,0,0,0,1,0,0,0
2489,22,0,0,0,6,0,0,0
2498,49,0,0,0,2,2,0,0
2515,28,2,1,0,10,11,0,0
2522,29,0,0,0,2,3,0,0
2532,25,0,1,0,7,6,0,0
2551,38,0,0,0,2,2,0,0
2556,23,0,0,0,7,0,0,0
2580,58,0,0,0,1,1,0,0
2630,28,0,1,0,6,8,1,0
