person_id,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,num_r_cases,vr_charge_degree
1,69,0,0,0,1,0,0,
3,34,0,0,0,3,0,0,(F3)
4,24,0,0,1,4,4,4,
5,23,0,1,0,8,1,1,
6,43,0,0,0,1,2,2,
8,41,0,0,0,6,14,14,
9,43,0,0,0,4,3,3,
10,39,0,0,0,1,0,0,
11,20,0,0,1,10,0,0,
12,26,0,0,0,5,0,0,
13,21,0,0,0,3,1,1,(F2)
14,27,0,0,0,4,0,0,
15,23,0,0,0,6,3,3,
16,37,0,0,0,1,0,0,
17,22,0,0,0,3,0,0,
19,47,0,0,0,1,1,1,
20,31,0,0,0,3,7,7,
22,25,0,0,0,10,3,3,
23,31,0,0,0,5,6,6,(F1)
24,31,0,0,0,3,5,5,
25,64,0,0,0,6,13,13,
26,21,0,0,0,9,1,1,
28,21,0,0,0,4,0,0,
29,24,0,0,0,-1,2,2,
30,24,0,0,0,4,1,1,
31,42,0,0,0,3,1,1,
32,43,0,0,0,1,1,1,
33,32,0,0,0,3,0,0,
34,54,0,0,0,9,0,0,
35,44,0,0,0,6,8,8,
37,27,0,0,0,3,8,8,(F3)
38,36,0,0,0,3,3,3,
39,26,0,0,1,7,5,5,
40,33,0,0,0,10,0,0,(M1)
42,32,0,0,0,8,4,4,
43,63,0,0,0,1,0,0,
44,27,0,0,0,3,2,2,
45,55,0,0,0,1,0,0,
48,38,0,0,2,3,5,5,
49,53,0,0,0,5,19,19,
51,26,0,0,2,8,6,6,
52,33,0,0,0,5,4,4,
55,29,0,0,0,2,0,0,
56,21,0,0,0,8,2,2,
57,51,0,0,0,1,2,2,
61,51,0,0,0,2,7,7,
62,28,0,0,0,7,8,8,
63,36,0,0,0,9,22,22,
64,29,0,0,0,7,0,0,
65,29,0,0,0,1,0,0,
66,25,0,0,0,10,9,9,(F2)
67,35,1,0,4,8,13,13,(MO3)
68,49,0,0,0,1,0,0,
69,34,0,0,0,3,4,4,
71,29,0,0,0,2,1,1,
72,28,0,0,0,2,0,0,
73,51,0,0,0,2,0,0,
74,25,0,0,0,3,0,0,
77,63,0,0,0,1,1,1,
78,30,0,0,1,6,3,3,
80,24,0,0,0,4,2,2,
81,27,0,0,0,5,0,0,
82,32,0,0,0,8,3,3,
83,30,0,0,0,7,0,0,
84,49,0,0,0,1,4,4,
85,53,0,0,0,5,8,8,
86,31,0,0,0,1,0,0,
88,63,0,0,0,7,10,10,
89,33,0,0,0,1,2,2,
90,27,1,1,2,10,15,15,
91,38,0,0,0,2,4,4,
92,46,3,1,0,6,9,9,
93,22,0,0,1,4,1,1,
94,34,0,0,0,1,0,0,
95,22,0,1,2,10,2,2,
96,29,0,0,0,9,4,4,
97,62,0,0,0,1,0,0,
98,27,0,1,0,6,6,6,
99,33,0,0,0,1,0,0,
100,56,0,0,0,1,0,0,
101,45,0,0,0,1,6,6,(M1)
102,22,0,0,0,4,1,1,
103,31,0,0,0,3,2,2,
104,34,0,0,0,4,0,0,
105,39,0,0,0,4,1,1,
106,24,0,1,0,6,4,4,
107,29,0,0,0,6,5,5,
108,27,0,0,1,6,1,1,
110,24,0,0,0,4,1,1,
112,51,0,0,0,1,1,1,
113,22,0,0,0,3,1,1,
117,59,0,0,0,1,2,2,
118,32,0,0,0,1,3,3,
119,32,0,0,0,2,0,0,
120,41,0,0,0,2,1,1,
121,50,0,0,0,1,0,0,
126,22,0,0,0,6,3,3,
127,50,0,0,0,1,0,0,
130,20,0,0,0,5,0,0,(F2)
131,22,1,0,0,9,2,2,
132,23,0,0,1,7,2,2,
134,40,0,0,0,5,4,4,
135,25,0,0,0,7,10,10,
136,35,0,0,0,2,1,1,
138,26,0,0,0,8,7,7,
139,21,0,0,0,6,1,1,
141,30,0,0,1,5,6,6,
142,25,0,0,0,8,9,9,(M1)
143,71,0,0,0,7,12,12,
145,20,0,0,0,7,0,0,
146,39,0,0,0,1,2,2,
147,66,0,0,0,1,3,3,
148,54,0,0,0,1,0,0,
151,19,0,0,0,4,1,1,(F3)
153,30,0,0,0,2,1,1,
155,32,0,0,0,3,8,8,
156,24,0,1,2,6,8,8,
157,30,0,0,0,4,0,0,
159,39,0,0,0,4,1,1,
160,59,0,0,0,9,14,14,(F3)
161,35,0,0,0,6,7,7,
162,24,0,0,0,3,0,0,
163,43,0,0,0,1,1,1,
165,21,0,0,0,4,0,0,
167,27,0,0,0,7,0,0,
168,20,0,0,0,8,0,0,
169,38,0,0,0,4,5,5,
171,34,0,0,0,5,0,0,
172,30,0,0,0,3,3,3,
173,33,0,0,0,5,5,5,
174,37,0,0,0,2,3,3,
175,42,0,0,0,2,1,1,
176,41,0,1,0,9,10,10,
178,33,0,12,2,8,28,28,
179,44,0,0,0,1,0,0,
181,26,0,0,0,8,9,9,
182,30,0,0,0,2,1,1,
185,31,0,0,0,2,1,1,
186,47,0,0,0,1,2,2,
187,56,0,0,0,9,8,8,
189,52,0,0,0,9,3,3,
190,33,0,0,0,10,19,19,
192,64,0,0,0,1,2,2,
193,22,0,0,0,6,4,4,
194,42,0,0,0,3,6,6,
195,25,0,0,0,4,2,2,
196,27,0,0,0,1,0,0,
197,30,0,0,0,2,1,1,
199,28,0,0,0,1,2,2,
200,37,0,0,0,2,2,2,
201,21,0,0,0,5,1,1,
202,28,0,0,0,2,0,0,
203,24,0,0,0,2,0,0,
205,22,0,0,0,9,0,0,
206,29,0,1,0,4,10,10,
208,44,0,0,0,2,2,2,
209,30,0,0,0,5,4,4,(M1)
211,53,0,0,0,4,1,1,
212,34,0,0,0,2,1,1,
213,31,0,0,0,3,2,2,
214,27,0,0,0,10,5,5,
215,31,0,0,0,2,1,1,
216,59,0,0,0,2,1,1,
218,45,0,0,0,4,4,4,
219,23,0,0,0,3,0,0,
220,20,1,0,0,10,1,1,
222,43,0,0,0,1,0,0,
223,38,1,1,0,8,9,9,
224,32,0,0,0,6,11,11,(F1)
225,33,0,0,0,5,8,8,(M1)
226,55,0,0,0,8,4,4,
227,31,0,0,0,3,0,0,
228,33,0,0,0,9,7,7,
229,27,0,0,0,9,2,2,
230,52,0,0,0,1,0,0,
231,20,0,0,0,6,0,0,
233,25,0,0,0,10,4,4,
234,61,0,0,0,1,1,1,
236,63,0,0,0,1,1,1,
238,32,0,0,0,10,4,4,(F3)
239,29,0,0,0,4,1,1,
240,46,0,0,0,2,1,1,
241,26,0,0,0,4,2,2,
242,55,0,0,0,1,3,3,
243,39,1,0,0,4,1,1,
244,30,0,0,0,7,3,3,
245,30,0,0,0,7,1,1,
246,48,0,0,0,2,2,2,
247,33,0,0,0,1,0,0,
248,22,0,0,0,2,1,1,
249,46,0,0,0,1,6,6,
251,49,0,0,0,6,6,6,
252,31,0,0,0,5,0,0,
254,25,0,0,0,2,1,1,
255,31,0,0,0,3,3,3,
256,21,0,0,0,6,0,0,
258,32,0,0,0,7,5,5,
259,52,0,0,0,1,2,2,
260,62,0,0,0,4,8,8,
261,30,0,0,0,6,2,2,
264,31,0,0,0,9,8,8,
265,28,0,0,0,6,6,6,(F2)
266,54,0,0,0,1,2,2,
267,58,0,0,0,2,0,0,
268,78,0,0,0,1,1,1,
269,56,0,0,0,1,0,0,
270,21,0,0,0,10,1,1,
271,24,0,0,0,2,0,0,
273,39,0,0,0,5,3,3,
274,35,0,0,0,1,0,0,
275,22,0,0,0,5,1,1,
277,47,0,0,0,8,23,23,
279,57,0,0,0,1,1,1,
280,38,0,0,0,5,2,2,
281,66,0,0,0,1,3,3,(M1)
282,45,0,0,0,4,8,8,
283,28,0,0,0,5,0,0,
284,45,0,0,0,1,2,2,
