person_id,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,num_r_cases,vr_charge_degree
21,37,0,0,0,1,0,,
50,49,0,0,0,3,7,1,
53,24,0,0,0,2,1,5,
54,34,2,1,3,9,21,1,
60,25,0,0,0,6,0,,
75,48,0,0,0,6,20,1,
87,35,0,0,0,3,5,,
115,26,0,0,0,4,1,3,(F3)
123,66,0,0,0,9,0,,
124,52,0,0,0,5,3,,
150,44,0,0,0,1,0,,
154,39,0,0,0,1,0,1,(M1)
166,21,0,0,0,9,3,5,
177,22,0,0,0,4,0,2,
183,31,0,0,0,10,13,1,(M1)
188,33,0,0,0,8,2,,
191,61,0,0,0,4,0,,
207,25,0,0,0,3,0,,
210,32,0,0,0,7,3,5,
235,52,0,0,0,7,13,1,
253,31,0,0,0,1,0,,
257,23,0,0,0,3,0,,
262,37,0,0,0,10,6,,
263,55,0,0,0,1,1,,
272,38,2,2,1,8,22,1,
285,52,0,0,0,3,0,1,
291,45,0,0,0,3,2,,
314,38,0,0,0,1,0,,
319,56,0,0,0,1,7,2,
352,47,0,0,0,2,1,,
357,31,0,0,0,8,0,5,
362,28,0,0,0,8,25,2,
364,25,0,0,0,3,0,,
366,22,0,0,1,8,1,2,
367,30,1,0,0,8,2,,
369,37,0,0,0,1,0,,
373,24,0,0,0,2,0,,
378,27,0,0,0,2,3,1,
382,23,0,0,4,5,5,2,
386,30,0,0,0,6,2,1,
435,34,0,0,0,4,5,,
452,62,0,0,0,1,0,,
459,32,0,0,0,1,5,,
482,48,0,0,0,8,8,,
486,22,0,0,0,3,0,,
506,22,0,0,0,8,2,,
512,25,0,0,0,6,2,,
524,27,0,0,0,8,0,,
549,34,1,0,0,8,11,,
556,29,0,1,0,2,7,,
567,53,0,0,0,1,1,,
598,28,0,0,0,9,5,2,
609,68,0,0,0,1,2,,
616,32,0,0,0,2,3,,
629,21,0,0,0,3,0,,
640,20,0,0,0,7,0,1,
648,57,0,0,0,5,1,2,
653,24,0,1,1,8,3,1,
667,24,0,0,0,4,4,,
673,28,0,0,0,5,2,2,(F3)
675,61,0,0,0,1,4,,
681,24,0,0,0,1,0,,
683,34,0,0,0,1,0,,
705,21,0,0,0,3,1,,
710,42,0,0,0,1,1,,
720,51,0,0,0,1,0,,
729,59,0,0,0,1,1,1,
758,22,0,0,0,5,2,5,
765,66,0,0,0,6,33,1,
769,27,0,0,0,5,2,,
807,23,0,0,0,9,0,,
820,32,1,1,0,10,20,,
828,26,0,0,0,9,0,,
835,27,0,0,0,9,5,1,
863,40,0,0,0,4,5,,
867,27,0,0,0,4,5,1,
880,64,0,0,0,1,1,,
882,50,0,0,0,1,5,12,
896,31,0,0,0,7,0,,
911,48,0,0,0,1,0,,
913,31,0,0,0,8,3,1,
917,22,0,0,0,10,11,1,(M1)
919,36,0,0,0,10,1,1,
920,50,0,0,0,1,4,,
921,30,0,0,0,7,1,,
924,59,0,0,0,1,0,,
927,38,0,0,0,1,0,,
931,60,0,0,0,4,0,,
933,28,0,0,0,9,1,,
943,29,0,0,0,2,2,1,
948,22,0,0,0,5,0,,
951,31,0,0,0,1,1,,
956,24,0,0,0,10,4,1,(F1)
964,23,0,2,0,5,3,1,
970,38,0,0,0,6,11,,
1025,36,0,0,0,7,0,1,(M1)
1029,30,0,0,0,3,0,,
1057,57,0,0,0,7,20,3,
1058,28,0,0,0,4,2,,
1069,53,0,0,0,1,1,,
1073,23,0,0,0,4,0,,
1076,46,0,0,0,8,2,,
1088,62,0,0,0,1,0,,
1102,29,0,0,0,7,7,,
1110,36,0,0,0,10,4,2,
1113,53,0,0,0,1,0,,
1118,45,0,0,0,1,1,,
1125,34,0,1,0,7,10,2,
1126,41,0,0,0,2,1,,
1127,23,0,0,0,2,0,,
1150,47,0,0,0,10,19,3,
1167,26,0,0,0,3,2,,
1170,27,0,0,0,2,1,1,
1186,24,0,0,0,4,1,1,
1187,21,0,2,1,9,2,1,(F2)
1211,24,0,0,0,2,1,,
1220,39,0,0,0,3,0,,
1228,29,0,0,0,5,1,,
1246,25,0,0,0,6,3,2,
1248,39,0,0,0,2,2,1,
1268,28,0,0,0,4,1,4,
1269,29,0,0,0,4,2,,
1278,57,0,0,0,1,0,,
1281,39,0,0,0,2,1,1,
1284,42,0,0,0,4,5,,
1296,46,0,0,0,1,0,,
1304,30,0,0,0,7,1,,
1306,30,0,0,0,4,5,1,(F6)
1311,38,0,0,0,2,3,,
1315,24,0,0,0,4,0,,
1322,23,0,0,0,6,0,,
1338,48,0,0,0,6,3,,
1347,31,0,0,0,3,1,2,
1371,39,0,0,0,2,1,,
1402,46,0,0,0,1,0,,
1415,32,0,0,0,7,1,,
1428,24,0,0,0,7,2,,
1438,26,0,0,0,6,0,,
1444,20,0,0,0,10,1,,
1451,42,0,0,0,7,5,,
1452,21,0,1,0,5,0,1,
1457,41,0,0,0,3,0,,
1463,36,0,0,0,8,5,3,
1489,29,0,0,0,2,4,,
1506,36,0,0,0,9,4,1,
1509,45,0,0,0,1,2,,
1551,53,0,0,0,1,0,,
1555,23,0,0,0,3,1,,
1556,27,2,1,0,7,5,1,(F3)
1561,35,0,0,0,1,0,,
1575,28,0,0,0,3,3,1,
