custody_status,marital_status,rec_supervision_level,rec_supervision_level_text,score_text,type_of_assessment,raw_score,decile_score,person_id
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,1
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,2
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,25,6,3
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,26,7,4
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,5
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,12,1,6
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,19,3,7
Jail Inmate,Single,2,Medium,High,Risk of Failure to Appear,30,8,8
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,20,3,9
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,10
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,17,2,11
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,11,1,12
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,21,4,13
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,14
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,23,5,15
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,16
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,17
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,18
Pretrial Defendant,Single,1,Low,Medium,Risk of Failure to Appear,22,5,19
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,19,3,20
Jail Inmate,Unknown,1,Low,Low,Risk of Failure to Appear,12,1,21
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,18,3,22
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,23
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,24
Jail Inmate,Separated,2,Medium,Medium,Risk of Failure to Appear,27,7,25
Jail Inmate,Single,4,High,Medium,Risk of Failure to Appear,25,6,26
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,27
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,11,1,28
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,21,4,29
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,30
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,19,3,31
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,17,2,32
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,33
Jail Inmate,Separated,3,Medium with Override Consideration,High,Risk of Failure to Appear,29,9,34
Jail Inmate,Significant Other,2,Medium,Low,Risk of Failure to Appear,18,3,35
Jail Inmate,Significant Other,2,Medium,Low,Risk of Failure to Appear,18,3,35
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,17,2,36
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,37
Pretrial Defendant,Single,1,Low,Medium,Risk of Failure to Appear,23,6,38
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,15,1,39
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,40
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,28,8,41
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,28,8,41
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,42
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,43
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,44
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,45
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,16,2,46
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,40,10,47
