person_id,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
6,Male,Other,(F7),arrest case no charge,,,,,,,0,0
10,Female,Caucasian,(M1),Battery,,,,,,,0,0
13,Male,Caucasian,(F2),Insurance Fraud,2,(M1),Battery,,(F2),Aggrav Battery w/Deadly Weapon,1,1
48,Male,African-American,(F3),Burglary Structure Assault/Batt,,,,,,,0,0
52,Female,Caucasian,(M1),Battery,1,(F3),Grand Theft in the 3rd Degree,,,,1,0
73,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
82,Male,Caucasian,(F3),Tampering With Physical Evidence,,,,,,,0,0
91,Male,Caucasian,(M1),Battery,2,(M2),Susp Drivers Lic 1st Offense,,,,1,0
94,Female,Caucasian,(M1),Battery,,,,,,,0,0
117,Female,African-American,(F3),arrest case no charge,,,,,,,0,0
128,Male,African-American,(F2),arrest case no charge,5,(M1),Resist/Obstruct W/O Violence,,(M1),Battery,1,1
156,Male,Caucasian,(F3),False Ownership Info/Pawn Item,2,(F2),Poss Wep Conv Felon,,,,1,0
162,Female,Other,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
166,Male,African-American,(F3),Grand Theft in the 3rd Degree,5,(M1),Resist/Obstruct W/O Violence,,,,1,0
170,Male,African-American,(F3),Robbery / No Weapon,,,,,,,0,0
185,Female,Caucasian,(F3),Grand Theft (Motor Vehicle),,,,,,,0,0
201,Male,Caucasian,(F3),Possession of Cannabis,,,,,,,0,0
230,Male,African-American,(M2),Assault,,,,,,,0,0
232,Female,Caucasian,(M2),Fail To Obey Police Officer,,,,,,,0,0
242,Male,African-American,(M1),Battery,,,,,,,0,0
246,Male,Caucasian,(M1),Battery,,,,,,,0,0
285,Female,Other,,,1,(M2),Driving License Suspended,,,,1,0
290,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
303,Male,Caucasian,(F1),arrest case no charge,,,,,,,0,0
323,Male,Hispanic,(M1),DUI Property Damage/Injury,,,,,,,0,0
338,Male,African-American,(F1),Robbery / Weapon,,,,,,,0,0
339,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
367,Female,African-American,(F2),arrest case no charge,,,,,,,0,0
371,Female,Caucasian,(F2),Deliver Cocaine,,,,,,,0,0
384,Male,African-American,(M1),Battery,,,,,,,0,0
386,Male,African-American,(F3),Carrying Concealed Firearm,1,(F2),Poss Cocaine/Intent To Del/Sel,,,,1,0
