person_id,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
1,Male,Other,(F3),Aggravated Assault w/Firearm,,,,,,,0,0
3,Male,African-American,(F3),Felony Battery w/Prior Convict,3,(F3),Felony Battery (Dom Strang),,(F3),Felony Battery (Dom Strang),1,1
4,Male,African-American,(F3),Possession of Cocaine,1,(M1),Driving Under The Influence,,,,1,0
5,Male,African-American,(F3),Possession of Cannabis,,,,,,,0,0
6,Male,Other,(F7),arrest case no charge,,,,,,,0,0
8,Male,Caucasian,(F3),Possession Burglary Tools,3,(F2),Poss of Firearm by Convic Felo,,,,1,0
9,Male,Other,(F3),arrest case no charge,,,,,,,0,0
10,Female,Caucasian,(M1),Battery,,,,,,,0,0
11,Male,Caucasian,(F3),Possession Of Alprazolam,,,,,,,0,0
12,Female,Caucasian,(F3),Possession Of Alprazolam,,,,,,,0,0
13,Male,Caucasian,(F2),Insurance Fraud,2,(M1),Battery,,(F2),Aggrav Battery w/Deadly Weapon,1,1
14,Male,Caucasian,(F3),Poss 3;4 MDMA (Ecstasy),,,,,,,0,0
15,Male,African-American,(M1),Battery,1,(M2),Driving License Suspended,,,,1,0
16,Female,Caucasian,(M1),Battery,,,,,,,0,0
17,Male,Caucasian,(M1),Battery,,,,,,,0,0
19,Female,Caucasian,(F3),arrest case no charge,2,(F3),Grand Theft (Motor Vehicle),,,,1,0
20,Male,African-American,(F3),Felony Driving While Lic Suspd,1,(M1),Criminal Mischief>$200<$1000,,,,1,0
22,Male,African-American,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
23,Male,Caucasian,(F3),Driving While License Revoked,3,(F3),Grand Theft in the 3rd Degree,,(F1),Kidnapping (Facilitate Felony),1,1
24,Male,Caucasian,(F3),Possession Of Heroin,2,(F3),Possession of Cocaine,,,,1,0
25,Male,African-American,(F3),arrest case no charge,1,(F2),Poss Cocaine/Intent To Del/Sel,,,,1,0
26,Male,African-American,(F3),Battery on Law Enforc Officer,1,(M2),Prowling/Loitering,,,,1,0
28,Female,Caucasian,(F3),Introduce Contraband Into Jail,,,,,,,0,0
29,Male,African-American,(F3),Poss Pyrrolidinovalerophenone,2,(M2),Petit Theft,,,,1,0
30,Male,Hispanic,(F3),Lewd/Lasc Battery Pers 12+/<16,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
31,Male,Caucasian,(F1),Trafficking In Methamphetamine,,,,,,,0,0
32,Male,Caucasian,(M2),Susp Drivers Lic 1st Offense,,,,,,,0,0
33,Male,Other,(M1),Battery,,,,,,,0,0
34,Female,African-American,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,0
35,Male,African-American,(M2),arrest case no charge,,,,,,,0,0
37,Male,African-American,(F3),Carrying Concealed Firearm,2,(M2),Driving License Suspended,,(F3),Felony Battery,1,1
38,Female,Caucasian,(F3),arrest case no charge,,,,,,,0,0
39,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
40,Male,African-American,(F3),Tampering With Physical Evidence,3,(F3),False Imprisonment,,(M1),Battery,1,1
42,Male,African-American,(F3),Att Tamper w/Physical Evidence,5,(M1),Resist/Obstruct W/O Violence,,,,1,0
43,Male,African-American,(M1),Battery,,,,,,,0,0
44,Male,Hispanic,(F3),Possession of Cocaine,,,,,,,0,0
45,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,0
48,Male,African-American,(F3),Burglary Structure Assault/Batt,,,,,,,0,0
49,Male,Caucasian,(F3),Fel Drive License Perm Revoke,,,,,,,0,0
51,Male,Caucasian,(M2),Operating W/O Valid License,,,,,,,0,0
52,Female,Caucasian,(M1),Battery,1,(F3),Grand Theft in the 3rd Degree,,,,1,0
55,Male,Caucasian,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,0
56,Female,African-American,(F2),arrest case no charge,,,,,,,0,0
57,Male,African-American,(M1),Unlaw Use False Name/Identity,,,,,,,0,0
61,Female,African-American,(F3),Possession of Cocaine,,,,,,,0,0
62,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,0
63,Male,African-American,(M1),Burglary Dwelling Occupied,,,,,,,0,0
64,Male,African-American,(F3),Defrauding Innkeeper $300/More,1,(M1),Viol Injunct Domestic Violence,,,,1,0
65,Male,Other,(M1),Battery,,,,,,,0,0
66,Male,Caucasian,(M1),Battery,1,(F2),Agg Battery Grt/Bod/Harm,,(F2),Agg Battery Grt/Bod/Harm,1,1
67,Male,African-American,(F3),Uttering a Forged Instrument,1,(MO3),DOC/Fighting/Threatening Words,,(MO3),DOC/Fighting/Threatening Words,1,1
68,Male,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,,,,,,,0,0
69,Male,African-American,(M2),Driving License Suspended,1,(M2),DWLS Canceled Disqul 1st Off,,,,1,0
71,Male,Caucasian,(F3),Possession of Oxycodone,2,(M1),Driving Under The Influence,,,,1,0
72,Female,Other,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
